,user_id,cate_name,rating
0,A002764429D4LF2SJIT18,Traps,1.0
1,A00311601FOXCO2AIRNIF,Lures,3.5
2,A00400301PNPWZTJFR6RA,Lures,4.0
3,A00406841NIK2FFZHXPC8,Planters,4.0
4,A004176027NXFTHNBG3MW,Flowers,4.0
5,A00436183LI7CN7VLFC18,Flowers,1.0
6,A00473363TJ8YSZ3YAGG9,Feeders,4.0
7,A00473363TJ8YSZ3YAGG9,Hooks & Hangers,4.0
8,A00477922HSN48OM8838J,Planters,2.0
9,A00495601IFV8DHJ1KD78,Garden Hoses,1.0
10,A00621841A9KUALSOAXMU,Garden Hoses,2.0
11,A01125071461I00T1KUNJ,Feeders,5.0
12,A012587793Q8XD2U3690,Traps,5.0
13,A015039036XJAYBDL2HU7,Cacti & Succulents,3.0
14,A017420815SNMNHIY3N16,Feeders,5.0
15,A02038612SWCHQTOHYRVK,Cacti & Succulents,4.0
16,A02182252NXFYVEQ7HO2J,Planters,5.0
17,A0226085XBSHRBV2DGYT,Traps,1.0
18,A0227405319CQ7DRWE1NW,Traps,4.0
19,A02359091YIARV0KGGQKM,Stands,5.0
20,A02461474F7IQ6YMP63Y,Flowers,2.3333333333333335
21,A02465351MCEKSRKDKTS7,Planters,5.0
22,A02683461DO4GUE5NQEST,Flowers,5.0
23,A02683461DO4GUE5NQEST,Hand Tools,5.0
24,A02814862ES0VBR9MD1RN,Feeders,4.0
25,A03210862P03QLU6UW053,Planters,5.0
26,A0326148384CSDVOOAIE2,Traps,5.0
27,A03270402Q2UNZ2DLRSI1,Hooks & Hangers,5.0
28,A03371112IP0NDM0XC0O3,Flowers,4.0
29,A0382399L5QOECJ5QH7C,Flowers,5.0
30,A03889472EE5BD6B5IRVB,Traps,1.0
31,A039847431BU89W3IUADM,Flowers,3.0
32,A04103725JN1E4QD7FMP,Traps,5.0
33,A041570289SQ4T2PB3TB,Traps,5.0
34,A04183043G9LTFAT3Z7A6,Lures,5.0
35,A0426126A921ULA8F4Y8,Traps,3.0
36,A04676272R3GMU048LHV3,Flowers,3.5
37,A0473259F6GQNBD88IYN,Garden Hoses,1.0
38,A04741072SHZDLD21WBCA,Lures,1.0
39,A04797653DG8D07C34UGN,Flowers,5.0
40,A05104813HBQOW72G13CN,Feeders,4.0
41,A0517943GPG7Z48WK4O,Garden Hoses,4.0
42,A053113051IVPUAR7T0X,Flowers,1.0
43,A053113051IVPUAR7T0X,Planters,1.5
44,A05547002APG9D6AV2O9M,Planters,5.0
45,A0576164H83JSDIYB8TO,Planters,4.0
46,A05890681V7IK86O82BSC,Garden Hoses,1.0
47,A060524110SCQA9KFKXWG,Planters,5.0
48,A06233973L4AA9LKMRM45,Feeders,4.0
49,A06284851ABEICQ5W8QMB,Planters,5.0
50,A06291712D0ABW2QXY9U1,Traps,3.0
51,A06438263SY6F64DXP4OL,Flowers,2.0
52,A06545652XTT1LA639E7M,Flowers,5.0
53,A06920741MW6HPV4B0X62,Flowers,2.0
54,A071376639R73KFZMQQAQ,Garden Hoses,3.0
55,A07233013ULL5733BNUJS,Planters,5.0
56,A07418612FY3IQ61BYKD6,Garden Hoses,1.0
57,A07512571IE02Z2HGU3UA,Stands,5.0
58,A0751509QDXZY3S1EEK1,Garden Hoses,1.0
59,A07616472UPBWU4AA1FFE,Stands,5.0
60,A07707533V9SLFEEYX0MB,Flowers,1.0
61,A07708891BO2BFQID6WRO,Planters,5.0
62,A07739271SLI2W3569PZ4,Ant,5.0
63,A0780327XXJBH8F112W,Traps,5.0
64,A079515235JNBWHIWZQHV,Planters,3.0
65,A080343019ZRP9HZUHWJ1,Flowers,1.0
66,A083673636ZG032BC98L5,Traps,1.0
67,A08554973AYX5BWHSSALF,Garden Hoses,2.0
68,A08752153A8OAYB9RJVOX,Traps,2.0
69,A08880751325CAT09G59R,Lures,5.0
70,A08939352M7ZR7HHLINEQ,Flowers,2.0
71,A08997192TPM3DM23EDQI,Garden Hoses,4.0
72,A09024052KJYQ1LZPZ0X9,Traps,3.5
73,A09138232UDBJ1BLPPY5S,Flowers,1.0
74,A09268921DE6DCQHV6QWO,Flowers,4.0
75,A09408103P34FMQOYIGO8,Feeders,5.0
76,A09576381X56SUZWDVP80,Hand Tools,3.0
77,A09576381X56SUZWDVP80,Traps,4.0
78,A09686563N98P8MQZOX8Q,Planters,5.0
79,A0971645OPXCUP95QITK,Flowers,4.5
80,A0971645OPXCUP95QITK,Stands,5.0
81,A09735703SKS707SHBB2L,Traps,3.0
82,A09957613D0M68EXY8JXP,Feeders,3.0
83,A09958011RE4MP0Y7Q9FJ,Traps,3.0
84,A1001QE14061YC,Planters,5.0
85,A1002N5SLKYK85,Planters,4.0
86,A1002O7Q4BOWMM,Feeders,5.0
87,A1002O7Q4BOWMM,Traps,2.0
88,A10047LWRFNFO8,Feeders,2.0
89,A1004DUSY0AR1J,Garden Hoses,4.0
90,A1005G56YEK3Z3,Traps,1.0
91,A10077R8APNKJU,Garden Hoses,1.0
92,A1009AE4YDVBA1,Garden Hoses,5.0
93,A100BDC683J8OD,Traps,2.0
94,A100I0T791DIKS,Feeders,5.0
95,A100M62JRPRQRR,Planters,5.0
96,A100M8B193TACZ,Flowers,5.0
97,A100NGGXRQF0AQ,Feeders,5.0
98,A100NXYDA6HSKA,Garden Hoses,5.0
99,A100NY8271CAPZ,Planters,5.0
100,A100OIGGO6M3R0,Flowers,2.0
101,A100SBDXD31BZF,Traps,5.0
102,A100UD67AHFODS,Garden Hoses,5.0
103,A100UD67AHFODS,Lures,5.0
104,A100V5X97DUOXV,Planters,5.0
105,A100W1JDO076QX,Feeders,5.0
106,A100WO06OQR8BQ,Ant,1.0
107,A100WO06OQR8BQ,Deer Off,3.0
108,A100WO06OQR8BQ,Feeders,4.142857142857143
109,A100WO06OQR8BQ,Garden Hoses,4.625
110,A100WO06OQR8BQ,Hand Tools,5.0
111,A100WO06OQR8BQ,Lures,1.0
112,A100WO06OQR8BQ,Planters,1.0
113,A100WO06OQR8BQ,Traps,3.090909090909091
